序号,单词,注音,释义
1169,drawer ,'drɔ:ə, n.抽屉
1170,drawing ,'drɔ:iŋ, n.图画 素描 绘图 绘图技巧
1171,dread ,dred, n.畏惧 恐怖 可怕的人 可怕的事 vt.惧怕 恐惧 adj.可怕的 可怖的
1172,dream ,dri:m, n.梦 梦想 vt. & vi.做梦 想象
1173,dress ,dres, n.女服 童装 服装 vt. & vi.穿著 adj.正式的(衣服)
1174,drift ,drift, vi.漂流 漂泊 吹积 n.漂流 漂移 漂流物 观望 吹积物 趋势 vt.使漂流 把...吹积
1175,drill ,dril, n.钻头 钻孔机 钻子 播种机 操练 vi.钻孔 vt.训练 钻孔
1176,drink ,driŋk, vt. & vi.饮 喝 喝酒 n.饮料
1177,drip ,drip, vi.滴下 漏水 n.水滴 滴 点滴 乏味的人
1178,drive ,draiv, vt. & vi.驾驶 驱 驱使 驾进力 打入 n.驾车 快车道 推进力 驱使 路 街 [计算机] 驱动器
1179,driver ,'draivə, n.驾驶员 司机
1180,drop ,drɔp, vt.使落下 降低 减少 vi.落下 减少 减弱 n.滴 微量 落下
1181,drought ,draut, n.旱灾 干旱
1182,drown ,draun, vi.淹死 溺死 vt.淹死 沉浸于
1183,drug ,drʌg, n.药 药物 药材 毒品 vt.下药 使...服麻醉药 vi.吸毒
1184,drum ,drʌm, n.鼓 鼓声 鼓状物 圆桶 冰丘 vi.击鼓 作鼓声 引起兴趣 vt.召集入伍 逐出 (经过努力)推动... 连续击打
1185,drunk ,drʌŋk, adj.醉的 陶醉的 vbl.喝 喝酒
1186,dry ,drai, adj.干的 干燥的 干旱的 不行于色的 枯燥无味的 无酒的 口渴的 vt.把...弄干 vi.(使)变干
1187,duck ,dʌk, n. 鸭 雌鸭 鸭肉 板球零分 vt. 把…按入水中 低头弯身(以免被打中或看见) 躲避 vi. 迅速行进 飞快行走(以免被看见) 推委责任
1188,due ,dju:, adj.预期的 应给的 到期的 应有的 预定的 n.应得物
1189,dull ,dʌl, adj.枯燥的 不鲜明的 呆滞的 迟钝的 无趣的 钝的 暗的 vt.使变钝 vi.变钝
1190,dumb ,dʌm, adj.哑的 无言的 沉默的 愚蠢的vt.使人沉默
1191,dump ,dʌmp, vt.倾卸 倾倒 倾销 丢弃 抛售 导出 vi.骤降 扔垃圾 n.垃圾场 堆放处
1192,durable ,'djuərəbl, adj.耐久的 耐用的 n.(复)耐用品
1193,duration ,dju'reiʃən, n.持续 持久 持续时间 期间
1194,during ,'djuəriŋ, prep.在...期间
1195,dusk ,dʌsk, n.薄暮 黄昏 幽暗 vi.(天)变黑 变暗 vt.把…变黑变暗 adj.颜色暗沉的 昏暗的
1196,dust ,dʌst, n.尘土 灰尘 无价值之物 屈辱状态 vt.拂去灰尘 撒上粉状物体 大胜 vi.擦拭灰尘
1197,duty ,'dju:ti, n.职责 责任 义务 税 adj.值班的 作为一种义务的
1198,dwelling ,'dweliŋ, n.住处 寓所
1199,dye ,dai, vt.染 vi.染色 n.染料 染色
1200,dying ,'daiiŋ, adj.垂死的 临终的 n.死 死亡
1201,dynamic ,dai'næmik, adj.有活力的 动态的 (有)动力的 (有)力的 n.动力 力学
1202,each ,i:tʃ, pron.各 各自 adj.每个 每 每一 adv.每个 int.每个 个人 个自
1203,eager ,'i:gə, adj.渴望的 热切的
1204,eagle ,'i:gl, n.鹰 vt.(高尔夫)鹰击
1205,ear ,iə, n.耳朵 听力 听觉 倾听 麦穗 vi.长出麦穗
1206,early ,'ə:li, adv.早 adj.早的 早期的
1207,earn ,ə:n, vt.赚得 挣得 获得 赚得 赢得 生利
1208,earnest ,'ə:nist, adj.认真的 诚恳的 重要的 n.真诚 重要的东西 定金 保证
1209,earth ,ə:θ, n.地球 陆地 地面 泥土 世间 大地 地球人 vt.赶入洞中 提取土壤 vi.躲入洞穴
1210,earthquake ,'ə:θkweik, n.地震 大震荡
1211,ease ,i:z, n.容易 舒适 安乐 n.安逸 悠闲 vt.缓和 使...安乐 使...安心 v.减轻 放松
1212,easily ,'i:zili, adv.容易地 舒适的 无疑地
1213,east ,i:st, n.东 东部 adv.在东方 向东方 adj.东方的
1214,eastern ,'i:stən, adj.东部的 东方的 朝东的
1215,easy ,'i:zi, adj.容易的 安逸的 不费力的 adv.慢慢地 当心地
1216,eat ,i:t, vt.吃 喝 消耗 vi.吃饭 侵蚀 n.食物
1217,echo ,'ekəu, n. 回声 回音 回波 反响 共鸣 vi. 重复 发回声 回响 仿效 vi. 回响 回荡 n. [计算机] DOS命令：禁止(或允许)批处理命令行显示屏幕上
1218,economic ,.i:kə'nɔmik, adj.经济的 经济学的 有利可图的 n. [-s]经济学(状况等)
1219,economical ,.i:kə'nɔmikəl, adj.节约的 节俭的 经济的 合算的 经济学的
1220,economy ,i'kɔnəmi, n.经济 节约 节省 adj.经济型的
1221,edge ,edʒ, n.边缘 边 刀口 vt.给...加上边 缓慢横过 使逐渐丧失 vi.徐徐前进
1222,edition ,i'diʃən, n.版 版本 版次
1223,editor ,'editə, n.编辑 编者 校订者
1224,educate ,'edjukeit, vt.教育 培养 训练
1225,education ,.edjukeiʃn, n.教育 培养 训导 教育学
1226,effect ,i'fekt, n.结果 效果 效力 影响 要旨 vt.招致 引起 实现 达到 n.(pl.)财产 动产
1227,effective ,i'fektiv, adj.有效的 有影响的
1228,efficiency ,i'fiʃənsi, n.效率 功效 效能
1229,efficient ,i'fiʃənt, adj.效率高的 有能力的 胜任的
1230,effort ,'efət, n.努力 努力的成果
1231,egg ,eg, n.蛋 鸡蛋 卵 (俚语)人
1232,eight ,eit, num.八 八个 第八
1233,eighteen ,'ei'ti:n, num.十八 十八个
1234,eighth ,eitθ, num.第八 n.八分之一
1235,eighty ,'eiti, num.八十 八十个
1236,either ,'i:ðə, pron.(两者)任何一个 adj.任一 两方的 adv.也 conj.或 也
1237,elaborate ,i'læbəreit, adj.复杂的 精心制作的 精细的 详尽的 精心的 v.详细地说明 用心地作 推敲
1238,elastic ,i'læstik, n.橡皮圈 有松紧的东西 松紧带 adj.有弹性的 灵活的 可变的
1239,elbow ,'elbəu, n.肘 肘部 弯管 急弯 扶手 v.用手肘推开 推挤
1240,elder ,'eldə, adj.年龄较大的 年长的 n.长者 长辈
1241,elect ,i'lekt, vt.选举 推选 选择 n.当选人 被选的人 上帝的选民 adj.被选的 选出的
1242,election ,i'lekʃən, n.选举 选择权 当选
1243,electric ,i'lektrik, adj.电的 电动的 令人激动的 鲜亮的 n.供电
1244,electrical ,i'lektrikəl, adj.电的 电气科学的 与电有关的
1245,electricity ,.ilek'trisiti, n.电 电学 电流
1246,electron ,i'lektrɔn, n.电子 
1247,electronic,ɪˌlekˈtrɒnɪk, a.电子的
1248,electronics ,ilek'trɔniks, n.电子学 电子器件
1249,element ,'elimənt, n.成分 要素 元素 基本原理 (复数)恶劣天气
1250,elementary ,.elə'mentəri, adj.基本的 初级的 元素的
1251,elephant ,'elifənt, n.象 庞大笨拙难处理的事物
1252,elevator ,'eliveitə, n.电梯 升降机 飞机升降舵 斗式皮带输送机
1253,eleven ,i'levn, num.十一 十一个
1254,eleventh ,i'levnθ, num.第十一(个)
1255,eliminate ,i'limineit, vt.消灭 消除 排除 除去 剔除 忽略
1256,elimination ,i.limi'neiʃən, n.消灭 排除 除去 消除
1257,else ,els, adv.其它 另外 否则 adj.别的 其他的
1258,elsewhere ,'els'wɛə, ad.在别处 向别处
1259,embarrass ,im'bærəs, vt.使窘迫 使为难 阻碍 vi.变得困窘
1260,embrace ,im'breis, vt.拥抱 包括 包围 信奉 包含 n.拥抱
1261,emerge ,i'mə:dʒ, vi.出现 涌现 冒出 (由某种状态)脱出 (事实)显现出来
1262,emergency ,i'mə:dʒənsi, n.紧急情况 突然事件
1263,emit ,i'mit, vt.散发 发射 发表 发出 放射 吐露
1264,emotion ,i'məuʃən, n.情感 感情 情绪 激动
1265,emotional ,i'məuʃənl, adj.感情的 情绪的
1266,emperor ,'empərə, n.皇帝
1267,emphasis ,'emfəsis, n.强调 重点 重要性
1268,emphasize ,emfəsaiz , vt.强调 着重
1269,empire ,'empaiə, n.帝国
1270,employ ,im'plɔi, vi.雇用 使用 使忙于
1271,employee ,.emplɔi'i:, n.受雇者 雇员 雇工
1272,employer ,im'plɔiə, n.雇佣者 雇主
1273,employment ,im'plɔimənt, n.工业 雇用 使用 职业
1274,empty ,'empti, a.空的 空洞的
1275,enable ,i'neibl, vt.使能够 使可能 [计算机] 使能
1276,enclose ,in'kləuz, vt.围住 圈起 附上 放入封套 [计算机] 括入
1277,encounter ,in'kauntə, vt. & vi.遭遇 遇到 偶然碰到 n.遭遇 意外的相见
1278,encourage ,in'kʌridʒ, vt.鼓励 支持 助长 激励 支持
1279,end ,end, n.末端 目标 结束 终点 vt. & vi.结束 终结 adj.最终的
1280,ending ,'endiŋ, n.结尾 结局 死亡
1281,endless ,'endlis, adj.无止境的 没完没了的
1282,endure ,in'djuə, vt.忍受 容忍 vi.持久 持续
1283,enemy ,'enimi, n.敌人 仇敌 敌兵 敌对势力 有害物
1284,energy ,'enədʒi, n.活力 精力 能力 能 能量
1285,enforce ,in'fɔ:s, vt.实施 执行 强制 强迫 加强
1286,engage ,in'geidʒ, vt.使从事于 聘用 答应 预定 使忙碌 订婚
1287,engine ,'endʒin, n.发动机 引擎 机车 火车头 vt.装引擎
1288,engineer ,.endʒi'niə, n.工程师 技师 机械师 vt.操纵 设计 建造
1289,engineering ,.endʒi'niəriŋ, n.工程 工程学
1290,England ,'inglənd, n.英格兰 英国
1291,English ,'iŋgliʃ, n.英语 adj.英国人的 英国的 英语的 vt.译成英语 把...(外来语言)加到英语中 Englishman ['iŋgliʃmən] n.英国男子
1292,enjoy ,in'dʒɔi, vt. & vi.享受 欣赏 喜爱
1293,enlarge ,in'lɑ:dʒ, vt.扩大 扩展 增大 放大
1294,enormous ,i'nɔ:məs, adj.巨大的 庞大的
1295,enough ,i'nʌf, adj.足够的 adv.足够地 完全地 pron.足够 受够
1296,ensure ,in'ʃuə, vt.保证 保护 赋予
1297,enter ,'entə, vt. 走进 进入 参加 报名 开始 加入 报价 提出 vi. 进入 参加 开始 上台 进入角色 [计算机] 送入
1298,entertain ,.entə'tein, vt. & vi.使欢乐 招待 怀抱
1299,enthusiasm ,in'θju:ziæzəm, n.热情 热心 热忱 热衷的事物
1300,enthusiastic ,in.θju:zi'æstik, adj.热情的 热心的
1301,entire ,in'taiə, adj.全部的 整个的 完整的 同性质的 纯正的 全面的
1302,entitle ,in'taitl, vt.给...权利(或资格) 取名为 使有权利
1303,entrance ,"'entrəns,in'trɑ:ns", n.入口 门口 进入 登场 vt.使神志恍惚
1304,entry ,'entri, n.入口处 登记 进入 入口 项目
1305,envelope ,'enviləup, n.信封 封套 封皮 壳层
1306,environment ,in'vaiərənmənt, n.环境 外界 围绕
1307,envy ,'envi, vt. & vi. & n.妒忌 嫉妒 羡慕
1308,equal ,'i:kwəl, adj.相等的 平等的 胜任的 n.对手 匹敌 同辈 vt.等于 比得上 [计算机] 相等
1309,equality ,i:'kwɔliti, n.等同 平等 相等
1310,equation ,i'kweiʃən, n.方程(式) 等式 均衡 相等
1311,equip ,i'kwip, vt.装备 配备 设 穿…
1312,equipment ,i'kwipmənt, n.装备 设备 配备
1313,equivalent ,i'kwivələnt, adj.相等的 等量的 n.相等物
1314,era ,'iərə, n.时代 年代 纪元
1315,erect ,i'rekt, vt.建造 建立 使竖立 adj.直立的 竖立的 笔直的
1316,error ,'erə, n.错误 谬误 差错
1317,esp. ,is'peʃəl, adj.(=especial)特别的 特殊的 尤其 adv.(=especially)特别 特殊
1318,escape ,is'keip, vt. & vi.逃跑 逃脱 避开 逸出 n.逃跑 逃亡 避难设备 adj.逃避的
1319,especially ,is'peʃəli, adv.特别 尤其 格外
1320,essay ,"'esei,e'sei", n.短文 散文 论文 小品文 尝试 vt.尝试
1321,essential ,i'senʃəl, adj.必要的 重要的 本质的 n.要素 要点
1322,establish ,i'stæbliʃ, vt.建立 设立 确立 创办
1323,establishment ,is'tæbliʃmənt, n.建立 设立 确立 设施 机构 权威
1324,estimate ,'estimeit, vt.估计 估价 评价 n.估计 估价
1325,etc. ,et'setərə, n.附加的人 附加物 以及其它 等等 = etcetera
1326,Europe ,'juərəp, n.欧洲
1327,European ,.juərə'pi(:)ən, adj.欧洲的 n.欧洲人
1328,evaluate ,i'væljueit, vt.评估 评价 估...的价
1329,evaporate ,i'væpəreit, vt.使蒸发 vi.蒸发 失去水分 消失
1330,eve ,i:v, n.前夜 前夕 前一刻 [Eve] 夏娃
1331,even ,'i:vən, adv.甚至 甚至更 还 恰好 正当 adj.平坦的 偶数的 相等的 均匀的 v.使平坦 相等
1332,evening ,'i:vniŋ, n.傍晚 黄昏 晚上
1333,event ,i'vent, n.事件 大事 事变 项目 活动
1334,eventually ,i'ventjuəli, adv.终于 最后
1335,ever ,'evə, adv.在任何时候 曾经 永远 究竟
1336,every ,'evri, adj.每一的 每隔...的
1337,everybody ,'evribɔdi, pron.每人 人人 各人
1338,everyday ,'evri'dei, adj.每天的 日常的 平常的
1339,everyone ,'evriwʌn, pron.每人 人人 n.每个人
1340,everything ,'evriθiŋ, pron.每件事 事事 一切
1341,everywhere ,'evriwɛə, adv.到处 处处 无论何处
1342,evidence ,'evidəns, n.根据 证据 证人 vt. & vi.证实 证明
1343,evident ,'evidənt, adj.明显的 明白的
1344,evil ,'i:vl, n.邪恶 罪恶 祸害 adj.邪恶的 坏的
1345,evolution ,.i:və'lu:ʃən, n.进化 演化 发展
1346,evolve ,i'vɔlv, vt. & vi.使进化 使发展 展开
1347,exact ,ig'zækt, adj.确切的 精确的 vt.强求 要求 索取
1348,exactly ,ig'zæktli, adv.确切地 恰恰正是
1349,exaggerate ,ig'zædʒəreit, vt. & vi.夸大 夸张
1350,exam ,ig'zæm, n.考试 检查 细查=examination 考试
1351,examination ,ig.zæmi'neiʃən, n.考试 检查 细查 审讯
1352,examine ,ig'zæmin, vt.检查 仔细观察 调查 考试 vi.调查 [计算机] 检测
1353,example ,ig'zɑ:mpl, n.例子 实例 模范 榜样 vt.把...作为例子
1354,exceed ,ik'si:d, vt.超过 胜过 超出 超出界限 vi.领先
1355,exceedingly ,ik'si:diŋli, adv.极端地 非常 很
1356,excellent ,'eksələnt, adj.优秀的 杰出的
1357,except ,ik'sept, prep. & conj.除了...之外 若不是 除非 vt.除 除外
1358,exception ,ik'sepʃən, n.例外 除外
1359,excess ,ik'ses, n.超越 过量 过度 adj.过量的 额外的
1360,excessive ,ik'sesiv, adj.过多的 过分的 极度的
1361,exchange ,iks'tʃeindʒ, vt. & vi.交换 交流 交易 兑换 n.交换 交换物 汇兑 交易所
1362,excite ,ik'sait, vt.使激动 引起 刺激 激励
1363,exciting ,ik'saitiŋ, adj.令人兴奋的
1364,exclaim ,iks'kleim, vi.呼喊 惊叫 大声叫
1365,exclude ,iks'klu:d, vt.把...排除在外 拒绝 [计算机] 排除
1366,exclusively ,iks'klu:sivli, adv.专门地 排他地(独占地 专门地 仅仅 只)
1367,excursion ,iks'kə:ʃən, n.远足 短途旅行
1368,excuse ,iks'kju:z, vt.原谅 免除 辩解 准许离开 同意赦免 n.借口 理由 低劣的样品 假条
1369,execute ,'eksikju:t, vt.将...处死 实施 执行 完成 [计算机] 执行 
1370,executive ,ig'zekjutiv, adj.执行的 行政的 决策的 经营的 [计算机] 执行指令 n.执行者 主管 行政部门
1371,exercise ,'eksəsaiz, n.锻炼 训练 练习 作业 运动 vi.练习 锻炼 vt.运用
1372,exert ,ig'zə:t, vt.尽(力) 运用 施加(压力 影响等)
1373,exhaust ,ig'zɔ:st, vt.使筋疲力尽 用尽 排空 vi.耗尽 n.排气 排气装置
1374,exhibit ,ig'zibit, vt.显示(感情或品质) 陈列 展览 展现 提出证据 vi.展览 n.展览品 展览 物证
1375,exhibition ,.eksi'biʃən, n.展览 陈列 展示 展览会
1376,exist ,ig'zist, vi.存在 生存 生活
1377,existence ,ig'zistəns, n.存在 实在 生存
1378,exit ,'eksit, n.出口 退场 离去 vi.退出 死亡 vt.离开
1379,expand ,iks'pænd, vt.扩大 增加 详述 扩展 使膨胀 vi.扩展 增加 详述
1380,expansion ,iks'pænʃən, n.扩大 扩充 扩张 膨胀
1381,expect ,iks'pekt, vt.预料 预期 等待 盼望
1382,expectation ,.ekspek'teiʃən, n.期待 期望 预期
1383,expense ,iks'pens, n.花费 消费 费用 代价
1384,expensive ,iks'pensiv, adj.昂贵的 花钱多的 豪华的
1385,experience ,iks'piəriəns, n.经验 感受 经历 vt.经历 体验
1386,experiment ,iks'perimənt, n.实验 试验 尝试 vi.做实验 尝试
1387,experimental ,iks.peri'mentl, adj实验(性)的 试验(性)的
1388,expert ,'ekspə:t, n.专家 能手 adj.熟练的 内行的 vi.当专家
1389,explain ,iks'plein, vt. & vi.解释 说明 为...辩解
1390,explanation ,.eksplə'neiʃən, n.解释 说明 辩解
1391,explode ,iks'pləud, vt.使爆炸 驳倒 vi.爆炸 爆发(感情) 激增 [计算机] 爆炸
1392,exploit ,"'eksplɔit,iks'plɔit", vt. & vi.剥削 利用 开拓 开发 n.功绩 勋绩
1393,explore ,iks'plɔ:, vt. & vi.探险 探索 探测 探究 [计算机] 探讨
1394,explosion ,iks'pləuʒən, n.爆炸 爆发 炸裂 激增
1395,explosive ,iks'pləusiv, n.炸药 adj.爆炸(性)的
1396,export ,"'ekspɔ:t,eks'pɔ:t", vt.输出 出口 运走 n.出口 输出品 vi.传播 输出 adj.出口的
1397,expose ,ik'spəuz, vt.使暴露 揭露 揭穿 使遭受(危险或不快)
1398,exposure ,iks'pəuʒə, n.暴露 揭露 显露 曝光 面临(困难)
1399,express ,iks'pres, vt.表达 表示 挤压出 快递 n.快车 快递 专使 adj.急速的 明确的 直接的 adv.用快递 特意地
1400,expression ,iks'preʃən, n.词句 措辞 表达 表示 表现 表情
1401,extend ,iks'tend, vt.延长 延伸 伸展 扩大 扩充 扩展 致
1402,extension ,iks'tenʃən,n.延长部分 伸展 扩充 范围 分机号码
1403,extensive ,iks'tensiv, adj.广阔的 广泛的
1404,extent ,iks'tent, n.广度 范围 程度 宽度 长度 大小 [律] <英>扣押 <美>临时所有权令
1405,exterior ,eks'tiəriə, adj.外部的 外在的 表面的 对外的 [计算机] 外部的 n.外部 表面 外型
1406,external ,eks'tə:nl, adj.外部的 外面的 外用的 客观的 表面的 n.外部
1407,extra ,'ekstrə, adj.额外的 ad.特别地 n.额外的事物 另外收费的
1408,extraordinary ,iks'trɔ:dnri, adj.非同寻常的 特别的 非凡的 特派的
1409,extreme ,iks'tri:m, adj.极度的 极端的 尽头的 严重的 末端的 n.极端 极限
1410,extremely ,iks'tri:mli, adv.极端 极其 非常
1411,eye ,ai, n.眼睛 眼力 鉴赏力 v.看 注视
1412,eyesight ,'aisait, n.视力 目力
1413,facility ,fə'siliti, n.设备 容易 便利 灵巧 容易 熟练
1414,fact ,fækt, n.事实 实际 实情
1415,factor ,'fæktə, n.因素 因子 系数 vt.把…因素包括进去 vi.作为因素
1416,factory ,'fæktəri, n.工厂 制造厂
1417,faculty ,'fækəlti, n.才能 能力 (大学的)系 科 全体教员
1418,fade ,feid, vi.褪色 逐渐消失 凋谢 vt.使褪色 n.淡入 淡出 adj.平凡的 乏味的
1419,Fahrenheit ,"'færənhait, 'fɑ:r-", n.华氏温度计 adj.华氏的
1420,fail ,feil, vi.失败 失灵 不能 衰退 不及格 vt.辜负 缺少 未能做 n.不及格
1421,failure ,'feiljə, n.失败 失败的人或事
1422,faint ,feint, adj.微弱的 虚弱的 无力的 模糊的 v.昏倒 n.昏厥 昏倒
1423,fair ,fɛə, adj.公平的 晴朗的 美丽的 相当的 (皮肤 毛发等)浅色的 白皙的 n. 展览会 市集 定期集市 adv. 公平地 直接地
1424,fairly ,'fɛəli, adv.相当 公平地 公正地 合法地 适当地
1425,faith ,feiθ, n.信任 信心 信仰
1426,faithful ,'feiθfəl, adj.忠诚的 如实的
1427,fall ,fɔ:l, vi.落下 跌倒 倒下 陷落 来临 n.秋天 落下 瀑布
1428,false ,fɔ:ls, adj.不真实的 伪造的 人造的 假的 错误的 虚伪的 adv.不真诚地 虚伪地
1429,fame ,feim, n.名声 名望 vt.使有名望
1430,familiar ,fə'miljə, adj.熟悉的 熟知的 不拘礼节的 冒昧的 n.熟人 熟悉某种事物的人
1431,family ,'fæmili, n.家 家庭 家族 adj.家庭的
1432,famine ,'fæmin, n.饥荒 严重的缺乏
1433,famous ,'feiməs, adj.著名的 出名的 一流的
1434,fan ,fæn, n.(运动等)狂热爱好者 风扇 扇形物 vt.风选 煽 吹 煽动 向扇子一样展开 vi.像扇子一样行动 鱼贯而出
1435,fancy ,'fænsi, n. 想象力 设想 幻想 爱好 喜好 adj. 想像的 时髦的 华丽装饰的 奢侈的 技巧的vt.想象 自认为 喜好
1436,far ,fɑ:, adj.远的 adv.远 遥远 n.远处
1437,fare ,fɛə, n.车费 船费 票价 费用 食物 vi.进展 进食
1438,farewell ,'fɛə'wel, int.再会 别了 n.告别 adj.告别的
1439,farm ,fɑ:m, n.农场 农庄 农田 饲养场 vt.收费 务农 vi.务农
1440,farmer ,'fɑ:mə, n.农民 农夫 农场主
1441,farther ,'fɑ:ðə, adv.更远地 进一步地 adj.更远的 进一步的
1442,fashion ,'fæʃən, n.样子 方式 风尚 流行 时装vt.形成 适合
1443,fashionable ,'fæʃənəbl, adj.流行的 时髦的
1444,fast ,fɑ:st, adj. 快速的 偏快的 固定的 关紧的 忠诚的 聪明的 耐久的 野性的 adv. 快 很快地 固定地 彻底地 鲁莽的 超前的 vi. 绝食 斋戒 n. 禁食(期) 系泊用具 
1445,fasten ,'fæsn, vt.扎牢 扣住 拴紧 使固定 系 强加于 vi.固定 系紧 抓紧
1446,fatal ,'feitl, adj.致命的 毁灭性的 决定性的 命运的
1447,fate ,feit, n.命运 天数 天意 vt.注定
1448,father ,'fɑ:ðə, n.父亲 神父 创始人 鼻祖 vt.作为父亲生育子女 vi.像父亲般照顾
1449,father-in-law ,'fɑ:ðərinlɔ:, n.岳父 公公
1450,fatigue ,fə'ti:g, n.疲劳 劳累 累活 adj.疲劳的 vt.使...疲劳 使...心智衰弱 vi.疲劳
1451,fault ,fɔ:lt, n.缺点 过失 故障 vt. & vi.挑剔 指责 发现错误 断裂
1452,faulty ,'fɔ:lti, adj.有错误的 有缺点的
1453,favour ,'feivə, n.好感 赞同 恩惠 好意 喜爱 偏爱 特权 vt.给予 关心 偏爱 支持 利于 长得像 =favor
1454,favourable ,'feivərəbl, adj.有利的 有用的 良好的 赞成的
1455,favourite ,'feivərit, adj.特别受喜爱的 特别喜爱的 n.特别喜爱的人(或物)
1456,fear ,fiə, n.害怕 担心 敬畏 不安的原因 vt.害怕 敬畏
1457,fearful ,'fiəfəl, adj.害怕的 可怕的 担心的
1458,feasible ,'fi:zəbl, adj.可行的 可能的
1459,feast ,fi:st, n.盛宴 宴会 酒席 筵席 节日 节会 vt. & vi.款宴 享乐 请客
1460,feather ,'feðə, n.羽毛 翎毛 羽状物 心情 种类 服饰 vt.用羽毛装饰 vi.长出羽毛
1461,feature ,fi:tʃə, n.特征 特色 面貌 vt.以...为特色 vi.起重要作用
1462,February ,'februəri, n.二月
1463,federal ,'fedərəl, adj.联邦(制)的 联邦政府的 联盟的 同盟的 n.联邦主义者 同盟盟友
1464,fee ,fi:, n.费 酬金 赏金 封地
1465,feeble ,fi:bl, adj.虚弱的 微弱的 无力的
1466,feed ,fi:d, vt.喂(养) 饲养 靠...为生 vi.吃饲料 进食 n.饲养 饲料 一餐
1467,feedback ,'fi:dbæk, n.回授 反馈 反应 成果
1468,feel ,fi:l, vi.有知觉 似乎 同情 vt.触 摸 感觉 觉得 n.感觉 触觉 直觉 氛围
1469,feeling ,'fi:liŋ, n.感情 感觉 知觉 意识 气氛 adj.有感情的 富于同情心的 含情脉脉的
1470,fellow ,'feləu, n.人 家伙 伙伴 朋友 同类 校董 研究生 adj.同类的 同事的 同伴的
1471,female ,'fi:meil, n.雌性的动植物 女子 adj.雌的 女(性)的 凹的
1472,fence ,fens, n.栅栏 围墙 击剑术 买卖赃物的人 v.用篱笆围住 练习剑术 防护 买卖赃物
1473,fertile ,'fə:tail, adj.肥沃的 多产的 能繁殖的、
1474,fertilize ,'fə:tilaiz, v.施肥 使丰饶
1475,fertilizer ,'fə:tilaizə, n.肥料
1476,festival ,'festəvəl, n.节日 音乐节 庆祝及祭祀 欢宴 adj.节日的 喜庆的
1477,fetch ,fetʃ, vt.拿来 请来 接去 航行到达 vi.取回 兜圈子 n.取得
1478,fever ,'fi:və, n.发热 发烧 狂热 vt.激怒 vi.发烧
1479,few ,fju:, adj.很少的 少数的 pron.少数 n.少量
1480,fibre ,'faibə, n.纤维 纤维质 纤维组织 织地
1481,fiction ,'fikʃən, n.小说 虚构 杜撰
1482,field ,fi:ld, n.田野 田地 原野 牧场 场地 领域 运动场 adj.田间的 野外的 vi.担任场外队员 vt.把(谷物等)暴晒于场上 上场
1483,fierce ,fiəs, adj.凶猛的 猛烈的 残暴的 强烈的 狂热的
1484,fifteen ,'fif'ti:n, num.十五 十五个 pron.十五(个 只...) adj.十五的 十五个的
1485,fifth ,fifθ, num.第五 n.五分之一
1486,fifty ,'fifti, num.五十 五十个
1487,fight ,fait, vi.打架(仗) 斗争 战斗 斗志 vt.对抗 打架 vi.斗争 奋斗
1488,figure ,'figə, n.数字 外形 人物 图形 形状 外形 体型 v.演算 认为 领会到
1489,file ,fail, n.档案 公文箱 锉刀 [计算机] 文件 vt.把...归档 列队行进 申请
1490,fill ,fil, vt.装满 盛满 占满 填充 弥漫 担任 n.足量
1491,film ,film, n.影片 胶卷 薄层 薄膜 vt.把...拍成电影 给...覆上一薄层 vi.从事电影拍摄
1492,filter ,'filtə, vt. & vi.过滤 渗透 n.滤纸 筛选 滤波器 过滤器 滤色镜 [计算机] 过滤
1493,final ,'fainl, adj.最后的 决定性的 n.决赛 期末考试
1494,finally ,'fainəli, adv.最后 最终 不可更改的
1495,finance ,fai'næns, n.财政 金融 财源 vt.给...提供资金 负担经费
1496,financial ,fai'nænʃəl, adj.财政的 金融的
1497,find ,faind, vt. & vi.找到 发觉 找出 感觉到 认为 n.发现物
1498,finding ,'faindiŋ, n. 发现 发现物 调查(或研究)的结果 [律] 裁判 裁决 (复数）findings：(珠宝商等使用的)零碎的工具或材料 find的现在分词
1499,fine ,fain, a. 美好的 优质的 精致的 晴朗的 健康的 纤细的 恭维的 辞藻华丽的 adv. 恰好地 合适地 n. 罚款 罚金 结尾 vt. 罚款 vi. 净化 细化
1500,finger ,'fiŋgə, n.手指 指针 指状物 vt.用手指触碰(演奏) (用手)指 vi.触摸 用手指演奏乐器
1501,finish ,'finiʃ, vt.完成 结束 获...第几名 vi.终结 完成 n.结束 完成 最后加工 结局 完美
1502,fire ,'faiə, n.火 火灾 射击 vi.点燃 解职 开枪 开火
1503,fireman ,'faiəmən, n.消防队员 司炉工
1504,firm ,fə:m, n. 商行 商号 公司 vt. (使)变得坚实 定案 vi. 变硬 恢复 adj. 坚定的 坚固的 结实的 adv. 稳固地 坚定地
1505,first ,fə:st, num. 第一 adv. 最初 首先 第一 优先 adj. 第一的 最早的 一流的 n. (序数词)第一 第一个人或事物 (大学学位的) 最优等 (汽车 自行车等的) 最低挡
1506,fish ,fiʃ, n.鱼 鱼肉 vi.钓鱼 捕鱼
1507,fisherman ,'fiʃəmən, n.渔民 渔夫 打鱼人 渔船
1508,fist ,fist, n.拳(头) 抓住 vt.紧握 用拳头打
1509,fit ,fit, vt.适合 安装 vi.适合 n.适宜 发作 adj.适宜的 健壮的
1510,five ,faiv, num.五 五个 第五
